"review_id","effect_size_id","within_effect_id","study_author","study_year","study_first_page_number","study_n","estimate","metric","lower_ci","upper_ci","standard_error","standard_deviation","variance","p_value","n_intervention","n_control","number_of_events_in_exposure_for_or_rr","number_of_events_in_comparison_for_or_rr","reverse_code","study_name","converted_metric","r_ci_lower","r_ci_upper","r_estimate","z_estimate","z_ci_lower","z_ci_upper","tar_group"
47569,"47569_002","47569_002_003","Caldas","1999","39",3452,-0.21,"Cohen's d",-0.24,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Caldas 1999","d",-0.119145220618431,-0.0896376994958906,-0.104425930003996,-0.104808013476227,-0.119713850398777,-0.0898789407439468,49
47569,"47569_002","47569_002_004","Cooper","1999","369",424,-0.26,"Cohen's d",-0.45,-0.07,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Cooper 1999","d",-0.219512195121951,-0.0349785821756186,-0.128915230254621,-0.12963659033633,-0.22314355131421,-0.0349928581029374,49
47569,"47569_002","47569_002_005","Ferguson","2011","808",603,0.12,"Cohen's d",-0.04,0.28,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Ferguson 2011","d",-0.0199960011996001,0.138647844534406,0.0598922907279467,0.0599640581953339,-0.0199986669066095,0.139546653905865,49
47569,"47569_002","47569_002_006","Fetler","1984","104",10603,-0.3,"Cohen's d",-0.34,-0.26,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Fetler 1984","d",-0.167595493933869,-0.128915230254621,-0.148340452930245,-0.149443120184958,-0.169191635935195,-0.12963659033633,49
47569,"47569_002","47569_002_007","Keith","1986","373",28051,-0.41,"Cohen's d",-0.43,-0.38,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Keith 1986","d",-0.210196709523022,-0.18666064582327,-0.200823620215616,-0.203590639225979,-0.213377140086069,-0.188875014576307,49
47569,"47569_002","47569_002_008","Kiatrungrit","2014","216",768,-0.02,"Cohen's d",-0.16,0.12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Kiatrungrit 2014","d",-0.07974522228289,0.0598922907279467,-0.00999950003749688,-0.00999983334083289,-0.0799149114944968,0.0599640581953339,49
47569,"47569_002","47569_002_009","Özmert","2002","910",689,0.22,"Cohen's d",0.09,0.35,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Özmert 2002","d",0.0449545065814817,0.172380331752248,0.109340479152898,0.109779365920543,0.0449848263229507,0.174118860824002,49
47569,"47569_002","47569_002_010","Potter","1987","27",543,-0.08,"Cohen's d",-0.25,0.09,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Potter 1987","d",-0.124034734589208,0.0449545065814817,-0.0399680383488716,-0.039989341006027,-0.124676746921443,0.0449848263229507,49
47569,"47569_002","47569_002_011","Sharif","2006","e1061",3452,0.02,"Cohen's d",-0.04,0.08,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Sharif 2006","d",-0.0199960011996001,0.0399680383488716,0.00999950003749688,0.00999983334083289,-0.0199986669066095,0.039989341006027,49
47569,"47569_002","47569_002_012","Sharif","2006","e1061",3452,-0.02,"Cohen's d",-0.08,0.04,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Sharif 2006","d",-0.0399680383488716,0.0199960011996001,-0.00999950003749688,-0.00999983334083289,-0.039989341006027,0.0199986669066095,49
47569,"47569_002","47569_002_013","Sharma","2017","e383",1234,-0.22,"Cohen's d",-0.33,-0.11,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Sharma 2017","d",-0.162798782993202,-0.0549170007571355,-0.109340479152898,-0.109779365920543,-0.164260338916376,-0.0549723085118352,49
47569,"47569_002","47569_002_014","Shejwal","2006","201",368,-0.61,"Cohen's d",-0.82,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Shejwal 2006","d",-0.379353281135444,-0.196116135138184,-0.291732485186372,-0.300458869992246,-0.399304001055924,-0.198690110349241,49
47569,"47569_002","47569_002_015","Shejwal","2006","201",286,-0.78,"Cohen's d",-1.02,-0.54,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Shejwal 2006","d",-0.454326082796012,-0.260665852290765,-0.363345276491644,-0.380734623641985,-0.490138161436235,-0.266822666909941,49
47569,"47569_002","47569_002_016","Vassiloudis","2014","164",528,-0.58,"Cohen's d",-0.76,-0.41,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Vassiloudis 2014","d",-0.355217760623573,-0.200823620215616,-0.278524450245832,-0.286081714574482,-0.37140239146356,-0.203590639225979,49
47569,"47569_002","47569_002_017","Walberg","1982","285",2001,-0.24,"Cohen's d",-0.33,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Walberg 1982","d",-0.162798782993202,-0.0747899482416342,-0.119145220618431,-0.119713850398777,-0.164260338916376,-0.0749298648848772,49
47569,"47569_002","47569_002_018","Welch","1986","699",1960,-0.2,"Cohen's d",-0.29,-0.11,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Welch 1986","d",-0.143499310466994,-0.0549170007571355,-0.0995037190209989,-0.0998340788992076,-0.144496643818822,-0.0549723085118352,49
